urn:cts:latinLit:phi0959.phi005:1	Legerat huius Amor titulum nomenque libelli:
urn:cts:latinLit:phi0959.phi005:2	'Bella mihi, video, bella parantur' ait.
urn:cts:latinLit:phi0959.phi005:3	'Parce tuum vatem sceleris damnare, Cupido,
urn:cts:latinLit:phi0959.phi005:4	Tradita qui toties te duce signa tuli.
urn:cts:latinLit:phi0959.phi005:5	Non ego Tydides, a quo tua saucia mater
urn:cts:latinLit:phi0959.phi005:6	In liquidum rediit aethera Martis equis.
urn:cts:latinLit:phi0959.phi005:7	Saepe tepent alii iuvenes: ego semper amavi,
urn:cts:latinLit:phi0959.phi005:8	Et si, quid faciam, nunc quoque, quaeris, amo.
urn:cts:latinLit:phi0959.phi005:9	Quin etiam docui, qua posses arte parari,
urn:cts:latinLit:phi0959.phi005:10	Et quod nunc ratio est, impetus ante fuit.
urn:cts:latinLit:phi0959.phi005:11	Nec te, blande puer, nec nostras prodimus artes,
urn:cts:latinLit:phi0959.phi005:12	Nec nova praeteritum Musa retexit opus.
urn:cts:latinLit:phi0959.phi005:13	Siquis amat quod amare iuvat, feliciter ardens
urn:cts:latinLit:phi0959.phi005:14	Gaudeat, et vento naviget ille suo.
urn:cts:latinLit:phi0959.phi005:15	At siquis male fert indignae regna puellae,
urn:cts:latinLit:phi0959.phi005:16	Ne pereat, nostrae sentiat artis opem.
urn:cts:latinLit:phi0959.phi005:17	Cur aliquis laqueo collum nodatus amator
urn:cts:latinLit:phi0959.phi005:18	A trabe sublimi triste pependit onus?
urn:cts:latinLit:phi0959.phi005:19	Cur aliquis rigido fodit sua pectora ferro?
urn:cts:latinLit:phi0959.phi005:20	Invidiam caedis, pacis amator, habes.
urn:cts:latinLit:phi0959.phi005:21	Qui, nisi desierit, misero periturus amore est,
urn:cts:latinLit:phi0959.phi005:22	Desinat; et nulli funeris auctor eris.
urn:cts:latinLit:phi0959.phi005:23	Et puer es, nec te quicquam nisi ludere oportet:
urn:cts:latinLit:phi0959.phi005:24	Lude; decent annos mollia regna tuos.
urn:cts:latinLit:phi0959.phi005:25	[Nam poteras uti nudis ad bella sagittis:
urn:cts:latinLit:phi0959.phi005:26	Sed tua mortifero sanguine tela carent.]
urn:cts:latinLit:phi0959.phi005:27	Vitricus et gladiis et acuta dimicet hasta,
urn:cts:latinLit:phi0959.phi005:28	Et victor multa caede cruentus eat:
urn:cts:latinLit:phi0959.phi005:29	Tu cole maternas, tuto quibus utimur, artes,
urn:cts:latinLit:phi0959.phi005:30	Et quarum vitio nulla fit orba parens.
urn:cts:latinLit:phi0959.phi005:31	Effice nocturna frangatur ianua rixa,
urn:cts:latinLit:phi0959.phi005:32	Et tegat ornatas multa corona fores:
urn:cts:latinLit:phi0959.phi005:33	Fac coeant furtim iuvenes timidaeque puellae,
urn:cts:latinLit:phi0959.phi005:34	Verbaque dent cauto qualibet arte viro:
urn:cts:latinLit:phi0959.phi005:35	Et modo blanditias rigido, modo iurgia posti
urn:cts:latinLit:phi0959.phi005:36	Dicat et exclusus flebile cantet amans.
urn:cts:latinLit:phi0959.phi005:37	His lacrimis contentus eris sine crimine mortis;
urn:cts:latinLit:phi0959.phi005:38	Non tua fax avidos digna subire rogos.'
urn:cts:latinLit:phi0959.phi005:39	Haec ego: movit Amor gemmatas aureus alas,
urn:cts:latinLit:phi0959.phi005:40	Et mihi 'propositum perfice' dixit 'opus.'
urn:cts:latinLit:phi0959.phi005:41	Ad mea, decepti iuvenes, praecepta venite,
urn:cts:latinLit:phi0959.phi005:42	Quos suus ex omni parte fefellit amor.
urn:cts:latinLit:phi0959.phi005:43	Discite sanari, per quem didicistis amare:
urn:cts:latinLit:phi0959.phi005:44	Una manus vobis vulnus opemque feret.
urn:cts:latinLit:phi0959.phi005:45	Terra salutares herbas, eademque nocentes
urn:cts:latinLit:phi0959.phi005:46	Nutrit, et urticae proxima saepe rosa est;
urn:cts:latinLit:phi0959.phi005:47	Vulnus in Herculeo quae quondam fecerat hoste,
urn:cts:latinLit:phi0959.phi005:48	Vulneris auxilium Pelias hasta tulit.
urn:cts:latinLit:phi0959.phi005:49	Sed quaecumque viris, vobis quoque dicta, puellae,
urn:cts:latinLit:phi0959.phi005:50	Credite: diversis partibus arma damus,
urn:cts:latinLit:phi0959.phi005:51	E quibus ad vestros siquid non pertinet usus,
urn:cts:latinLit:phi0959.phi005:52	Attamen exemplo multa docere potest.
urn:cts:latinLit:phi0959.phi005:53	Utile propositum est saevas extinguere flammas,
urn:cts:latinLit:phi0959.phi005:54	Nec servum vitii pectus habere sui.
urn:cts:latinLit:phi0959.phi005:55	Vixisset Phyllis, si me foret usa magistro,
urn:cts:latinLit:phi0959.phi005:56	Et per quod novies, saepius isset iter;
urn:cts:latinLit:phi0959.phi005:57	Nec moriens Dido summa vidisset ab arce
urn:cts:latinLit:phi0959.phi005:58	Dardanias vento vela dedisse rates;
urn:cts:latinLit:phi0959.phi005:59	Nec dolor armasset contra sua viscera matrem,
urn:cts:latinLit:phi0959.phi005:60	Quae socii damno sanguinis ulta virum est.
urn:cts:latinLit:phi0959.phi005:61	Arte mea Tereus, quamvis Philomela placeret,
urn:cts:latinLit:phi0959.phi005:62	Per facinus fieri non meruisset avis.
urn:cts:latinLit:phi0959.phi005:63	Da mihi Pasiphaën, iam tauri ponet amorem:
urn:cts:latinLit:phi0959.phi005:64	Da Phaedram, Phaedrae turpis abibit amor.
urn:cts:latinLit:phi0959.phi005:65	Crede Parim nobis, Helenen Menelaus habebit,
urn:cts:latinLit:phi0959.phi005:66	Nec manibus Danais Pergama victa cadent.
urn:cts:latinLit:phi0959.phi005:67	Impia si nostros legisset Scylla libellos,
urn:cts:latinLit:phi0959.phi005:68	Haesisset capiti purpura, Nise, tuo.
urn:cts:latinLit:phi0959.phi005:69	Me duce damnosas, homines, conpescite curas,
urn:cts:latinLit:phi0959.phi005:70	Rectaque cum sociis me duce navis eat.
urn:cts:latinLit:phi0959.phi005:71	Naso legendus erat tum, cum didicistis amare:
urn:cts:latinLit:phi0959.phi005:72	Idem nunc vobis Naso legendus erit.
urn:cts:latinLit:phi0959.phi005:73	Publicus assertor dominis suppressa levabo
urn:cts:latinLit:phi0959.phi005:74	Pectora: vindictae quisque favete suae.
urn:cts:latinLit:phi0959.phi005:75	Te precor incipiens, adsit tua laurea nobis,
urn:cts:latinLit:phi0959.phi005:76	Carminis et medicae, Phoebe, repertor opis.
urn:cts:latinLit:phi0959.phi005:77	Tu pariter vati, pariter succurre medenti:
urn:cts:latinLit:phi0959.phi005:78	Utraque tutelae subdita cura tua est.
urn:cts:latinLit:phi0959.phi005:79	Dum licet, et modici tangunt praecordia motus,
urn:cts:latinLit:phi0959.phi005:80	Si piget, in primo limine siste pedem.
urn:cts:latinLit:phi0959.phi005:81	Opprime, dum nova sunt, subiti mala semina morbi,
urn:cts:latinLit:phi0959.phi005:82	Et tuus incipiens ire resistat equus.
urn:cts:latinLit:phi0959.phi005:83	Nam mora dat vires, teneras mora percoquit uvas,
urn:cts:latinLit:phi0959.phi005:84	Et validas segetes quae fuit herba, facit.
urn:cts:latinLit:phi0959.phi005:85	Quae praebet latas arbor spatiantibus umbras,
urn:cts:latinLit:phi0959.phi005:86	Quo posita est primum tempore virga fuit;
urn:cts:latinLit:phi0959.phi005:87	Tum poterat manibus summa tellure revelli:
urn:cts:latinLit:phi0959.phi005:88	Nunc stat in inmensum viribus aucta suis.
urn:cts:latinLit:phi0959.phi005:89	Quale sit id, quod amas, celeri circumspice mente,
urn:cts:latinLit:phi0959.phi005:90	Et tua laesuro subtrahe colla iugo.
urn:cts:latinLit:phi0959.phi005:91	Principiis obsta; sero medicina paratur,
urn:cts:latinLit:phi0959.phi005:92	Cum mala per longas convaluere moras.
urn:cts:latinLit:phi0959.phi005:93	Sed propera, nec te venturas differ in horas;
urn:cts:latinLit:phi0959.phi005:94	Qui non est hodie, cras minus aptus erit:
urn:cts:latinLit:phi0959.phi005:95	Verba dat omnis amor, reperitque alimenta morando;
urn:cts:latinLit:phi0959.phi005:96	Optima vindictae proxima quaeque dies.
urn:cts:latinLit:phi0959.phi005:97	Flumina pauca vides de magnis fontibus orta:
urn:cts:latinLit:phi0959.phi005:98	Plurima collectis multiplicantur aquis.
urn:cts:latinLit:phi0959.phi005:99	Si cito sensisses, quantum peccare parares,
urn:cts:latinLit:phi0959.phi005:100	Non tegeres vultus cortice, Myrrha, tuos.
urn:cts:latinLit:phi0959.phi005:101	Vidi ego, quod fuerat primo sanabile, vulnus
urn:cts:latinLit:phi0959.phi005:102	Dilatum longae damna tulisse morae.
urn:cts:latinLit:phi0959.phi005:103	Sed quia delectat Veneris decerpere fructum,
urn:cts:latinLit:phi0959.phi005:104	Dicimus adsidue 'cras quoque fiet idem.'
urn:cts:latinLit:phi0959.phi005:105	Interea tacitae serpunt in viscera flammae,
urn:cts:latinLit:phi0959.phi005:106	Et mala radices altius arbor agit.
urn:cts:latinLit:phi0959.phi005:107	Si tamen auxilii perierunt tempora primi,
urn:cts:latinLit:phi0959.phi005:108	Et vetus in capto pectore sedit amor,
urn:cts:latinLit:phi0959.phi005:109	Maius opus superest: sed non, quia serior aegro
urn:cts:latinLit:phi0959.phi005:110	Advocor, ille mihi destituendus erit.
urn:cts:latinLit:phi0959.phi005:111	Quam laesus fuerat, partem Poeantius heros
urn:cts:latinLit:phi0959.phi005:112	Certa debuerat praesecuisse manu;
urn:cts:latinLit:phi0959.phi005:113	Post tamen hic multos sanatus creditur annos
urn:cts:latinLit:phi0959.phi005:114	Supremam bellis imposuisse manum.
urn:cts:latinLit:phi0959.phi005:115	Qui modo nascentes properabam pellere morbos,
urn:cts:latinLit:phi0959.phi005:116	Admoveo tardam nunc tibi lentus opem.
urn:cts:latinLit:phi0959.phi005:117	Aut nova, si possis, sedare incendia temptes,
urn:cts:latinLit:phi0959.phi005:118	Aut ubi per vires procubuere suas:
urn:cts:latinLit:phi0959.phi005:119	Dum furor in cursu est, currenti cede furori;
urn:cts:latinLit:phi0959.phi005:120	Difficiles aditus impetus omnis habet.
urn:cts:latinLit:phi0959.phi005:121	Stultus, ab obliquo qui cum descendere possit,
urn:cts:latinLit:phi0959.phi005:122	Pugnat in adversas ire natator aquas.
urn:cts:latinLit:phi0959.phi005:123	Impatiens animus nec adhuc tractabilis artem
urn:cts:latinLit:phi0959.phi005:124	Respuit, atque odio verba monentis habet.
urn:cts:latinLit:phi0959.phi005:125	Adgrediar melius tum, cum sua vulnera tangi
urn:cts:latinLit:phi0959.phi005:126	Iam sinet, et veris vocibus aptus erit.
urn:cts:latinLit:phi0959.phi005:127	Quis matrem, nisi mentis inops, in funere nati
urn:cts:latinLit:phi0959.phi005:128	Flere vetet? non hoc illa monenda loco est.
urn:cts:latinLit:phi0959.phi005:129	Cum dederit lacrimas animumque impleverit aegrum,
urn:cts:latinLit:phi0959.phi005:130	Ille dolor verbis emoderandus erit.
urn:cts:latinLit:phi0959.phi005:131	Temporis ars medicina fere est: data tempore prosunt,
urn:cts:latinLit:phi0959.phi005:132	Et data non apto tempore vina nocent.
urn:cts:latinLit:phi0959.phi005:133	Quin etiam accendas vitia inritesque vetando,
urn:cts:latinLit:phi0959.phi005:134	Temporibus si non adgrediare suis.
urn:cts:latinLit:phi0959.phi005:135	Ergo ubi visus eris nostra medicabilis arte,
urn:cts:latinLit:phi0959.phi005:136	Fac monitis fugias otia prima meis.
urn:cts:latinLit:phi0959.phi005:137	Haec, ut ames, faciunt; haec, quod fecere, tuentur;
urn:cts:latinLit:phi0959.phi005:138	Haec sunt iucundi causa cibusque mali.
urn:cts:latinLit:phi0959.phi005:139	Otia si tollas, periere Cupidinis arcus,
urn:cts:latinLit:phi0959.phi005:140	Contemptaeque iacent et sine luce faces.
urn:cts:latinLit:phi0959.phi005:141	Quam platanus vino gaudet, quam populus unda,
urn:cts:latinLit:phi0959.phi005:142	Et quam limosa canna palustris humo,
urn:cts:latinLit:phi0959.phi005:143	Tam Venus otia amat; qui finem quaeris amoris,
urn:cts:latinLit:phi0959.phi005:144	Cedit amor rebus: res age, tutus eris.
urn:cts:latinLit:phi0959.phi005:145	Languor, et inmodici sub nullo vindice somni,
urn:cts:latinLit:phi0959.phi005:146	Aleaque, et multo tempora quassa mero
urn:cts:latinLit:phi0959.phi005:147	Eripiunt omnes animo sine vulnere nervos:
urn:cts:latinLit:phi0959.phi005:148	Adfluit incautis insidiosus Amor.
urn:cts:latinLit:phi0959.phi005:149	Desidiam puer ille sequi solet, odit agentes:
urn:cts:latinLit:phi0959.phi005:150	Da vacuae menti, quo teneatur, opus.
urn:cts:latinLit:phi0959.phi005:151	Sunt fora, sunt leges, sunt, quos tuearis, amici:
urn:cts:latinLit:phi0959.phi005:152	Vade per urbanae splendida castra togae.
urn:cts:latinLit:phi0959.phi005:153	Vel tu sanguinei iuvenalia munera Martis
urn:cts:latinLit:phi0959.phi005:154	Suspice: deliciae iam tibi terga dabunt.
urn:cts:latinLit:phi0959.phi005:155	Ecce, fugax Parthus, magni nova causa triumphi,
urn:cts:latinLit:phi0959.phi005:156	Iam videt in campis Caesaris arma suis:
urn:cts:latinLit:phi0959.phi005:157	Vince Cupidineas pariter Parthasque sagittas,
urn:cts:latinLit:phi0959.phi005:158	Et refer ad patrios bina tropaea deos.
urn:cts:latinLit:phi0959.phi005:159	Ut semel Aetola Venus est a cuspide laesa,
urn:cts:latinLit:phi0959.phi005:160	Mandat amatori bella gerenda suo.
urn:cts:latinLit:phi0959.phi005:161	Quaeritur, Aegisthus quare sit factus adulter?
urn:cts:latinLit:phi0959.phi005:162	In promptu causa est: desidiosus erat.
urn:cts:latinLit:phi0959.phi005:163	Pugnabant alii tardis apud Ilion armis:
urn:cts:latinLit:phi0959.phi005:164	Transtulerat vires Graecia tota suas.
urn:cts:latinLit:phi0959.phi005:165	Sive operam bellis vellet dare, nulla gerebat:
urn:cts:latinLit:phi0959.phi005:166	Sive foro, vacuum litibus Argos erat.
urn:cts:latinLit:phi0959.phi005:167	Quod potuit, ne nil illic ageretur, amavit.
urn:cts:latinLit:phi0959.phi005:168	Sic venit ille puer, sic puer ille manet.
urn:cts:latinLit:phi0959.phi005:169	Rura quoque oblectant animos studiumque colendi:
urn:cts:latinLit:phi0959.phi005:170	Quaelibet huic curae cedere cura potest.
urn:cts:latinLit:phi0959.phi005:171	Colla iube domitos oneri supponere tauros,
urn:cts:latinLit:phi0959.phi005:172	Sauciet ut duram vomer aduncus humum:
urn:cts:latinLit:phi0959.phi005:173	Obrue versata Cerialia semina terra,
urn:cts:latinLit:phi0959.phi005:174	Quae tibi cum multo faenore reddat ager.
urn:cts:latinLit:phi0959.phi005:175	Aspice curvatos pomorum pondere ramos,
urn:cts:latinLit:phi0959.phi005:176	Ut sua, quod peperit, vix ferat arbor onus;
urn:cts:latinLit:phi0959.phi005:177	Aspice labentes iucundo murmure rivos;
urn:cts:latinLit:phi0959.phi005:178	Aspice tondentes fertile gramen oves.
urn:cts:latinLit:phi0959.phi005:179	Ecce, petunt rupes praeruptaque saxa capellae:
urn:cts:latinLit:phi0959.phi005:180	Iam referent haedis ubera plena suis;
urn:cts:latinLit:phi0959.phi005:181	Pastor inaequali modulatur harundine carmen,
urn:cts:latinLit:phi0959.phi005:182	Nec desunt comites, sedula turba, canes;
urn:cts:latinLit:phi0959.phi005:183	Parte sonant alia silvae mugitibus altae,
urn:cts:latinLit:phi0959.phi005:184	Et queritur vitulum mater abesse suum.
urn:cts:latinLit:phi0959.phi005:185	Quid, cum suppositos fugiunt examina fumos,
urn:cts:latinLit:phi0959.phi005:186	Ut relevent dempti vimina curva favi?
urn:cts:latinLit:phi0959.phi005:187	Poma dat autumnus: formosa est messibus aestas:
urn:cts:latinLit:phi0959.phi005:188	Ver praebet flores: igne levatur hiems.
urn:cts:latinLit:phi0959.phi005:189	Temporibus certis maturam rusticus uvam
urn:cts:latinLit:phi0959.phi005:190	Deligit, et nudo sub pede musta fluunt;
urn:cts:latinLit:phi0959.phi005:191	Temporibus certis desectas alligat herbas,
urn:cts:latinLit:phi0959.phi005:192	Et tonsam raro pectine verrit humum.
urn:cts:latinLit:phi0959.phi005:193	Ipse potes riguis plantam deponere in hortis,
urn:cts:latinLit:phi0959.phi005:194	Ipse potes rivos ducere lenis aquae.
urn:cts:latinLit:phi0959.phi005:195	Venerit insitio; fac ramum ramus adoptet,
urn:cts:latinLit:phi0959.phi005:196	Stetque peregrinis arbor operta comis.
urn:cts:latinLit:phi0959.phi005:197	Cum semel haec animum coepit mulcere voluptas,
urn:cts:latinLit:phi0959.phi005:198	Debilibus pinnis inritus exit Amor.
urn:cts:latinLit:phi0959.phi005:199	Vel tu venandi studium cole: saepe recessit
urn:cts:latinLit:phi0959.phi005:200	Turpiter a Phoebi victa sorore Venus.
urn:cts:latinLit:phi0959.phi005:201	Nunc leporem pronum catulo sectare sagaci,
urn:cts:latinLit:phi0959.phi005:202	Nunc tua frondosis retia tende iugis,
urn:cts:latinLit:phi0959.phi005:203	Aut pavidos terre varia formidine cervos,
urn:cts:latinLit:phi0959.phi005:204	Aut cadat adversa cuspide fossus aper.
urn:cts:latinLit:phi0959.phi005:205	Nocte fatigatum somnus, non cura puellae,
urn:cts:latinLit:phi0959.phi005:206	Excipit et pingui membra quiete levat.
urn:cts:latinLit:phi0959.phi005:207	Lenius est studium, studium tamen, alite capta
urn:cts:latinLit:phi0959.phi005:208	Aut lino aut calamis praemia parva sequi,
urn:cts:latinLit:phi0959.phi005:209	Vel, quae piscis edax avido male devoret ore,
urn:cts:latinLit:phi0959.phi005:210	Abdere sub parvis aera recurva cibis.
urn:cts:latinLit:phi0959.phi005:211	Aut his aut aliis, donec dediscis amare,
urn:cts:latinLit:phi0959.phi005:212	Ipse tibi furtim decipiendus eris.
urn:cts:latinLit:phi0959.phi005:213	Tu tantum quamvis firmis retinebere vinclis,
urn:cts:latinLit:phi0959.phi005:214	I procul, et longas carpere perge vias;
urn:cts:latinLit:phi0959.phi005:215	Flebis, et occurret desertae nomen amicae,
urn:cts:latinLit:phi0959.phi005:216	Stabit et in media pes tibi saepe via:
urn:cts:latinLit:phi0959.phi005:217	Sed quanto minus ire voles, magis ire memento;
urn:cts:latinLit:phi0959.phi005:218	Perfer, et invitos currere coge pedes.
urn:cts:latinLit:phi0959.phi005:219	Nec pluvias opta, nec te peregrina morentur
urn:cts:latinLit:phi0959.phi005:220	Sabbata, nec damnis Allia nota suis.
urn:cts:latinLit:phi0959.phi005:221	Nec quot transieris et quot tibi, quaere, supersint
urn:cts:latinLit:phi0959.phi005:222	Milia; nec, maneas ut prope, finge moras:
urn:cts:latinLit:phi0959.phi005:223	Tempora nec numera, nec crebro respice Romam,
urn:cts:latinLit:phi0959.phi005:224	Sed fuge: tutus adhuc Parthus ab hoste fuga est.
urn:cts:latinLit:phi0959.phi005:225	Dura aliquis praecepta vocet mea; dura fatemur
urn:cts:latinLit:phi0959.phi005:226	Esse; sed ut valeas, multa dolenda feres.
urn:cts:latinLit:phi0959.phi005:227	Saepe bibi sucos, quamvis invitus, amaros
urn:cts:latinLit:phi0959.phi005:228	Aeger, et oranti mensa negata mihi.
urn:cts:latinLit:phi0959.phi005:229	Ut corpus redimas, ferrum patieris et ignes,
urn:cts:latinLit:phi0959.phi005:230	Arida nec sitiens ora levabis aqua:
urn:cts:latinLit:phi0959.phi005:231	Ut valeas animo, quicquam tolerare negabis?
urn:cts:latinLit:phi0959.phi005:232	At pretium pars haec corpore maius habet.
urn:cts:latinLit:phi0959.phi005:233	Sed tamen est artis tristissima ianua nostrae,
urn:cts:latinLit:phi0959.phi005:234	Et labor est unus tempora prima pati.
urn:cts:latinLit:phi0959.phi005:235	Aspicis, ut prensos urant iuga prima iuvencos,
urn:cts:latinLit:phi0959.phi005:236	Et nova velocem cingula laedat equum?
urn:cts:latinLit:phi0959.phi005:237	Forsitan a laribus patriis exire pigebit:
urn:cts:latinLit:phi0959.phi005:238	Sed tamen exibis: deinde redire voles;
urn:cts:latinLit:phi0959.phi005:239	Nec te Lar patrius, sed amor revocabit amicae,
urn:cts:latinLit:phi0959.phi005:240	Praetendens culpae splendida verba tuae.
urn:cts:latinLit:phi0959.phi005:241	Cum semel exieris, centum solatia curae
urn:cts:latinLit:phi0959.phi005:242	Et rus et comites et via longa dabit.
urn:cts:latinLit:phi0959.phi005:243	Nec satis esse putes discedere; lentus abesto,
urn:cts:latinLit:phi0959.phi005:244	Dum perdat vires sitque sine igne cinis.
urn:cts:latinLit:phi0959.phi005:245	Quod nisi firmata properaris mente reverti,
urn:cts:latinLit:phi0959.phi005:246	Inferet arma tibi saeva rebellis Amor.
urn:cts:latinLit:phi0959.phi005:247	Quidquid et afueris, avidus sitiensque redibis,
urn:cts:latinLit:phi0959.phi005:248	Et spatium damno cesserit omne tuo.
urn:cts:latinLit:phi0959.phi005:249	Viderit, Haemoniae siquis mala pabula terrae
urn:cts:latinLit:phi0959.phi005:250	Et magicas artes posse iuvare putat.
urn:cts:latinLit:phi0959.phi005:251	Ista veneficii vetus est via; noster Apollo
urn:cts:latinLit:phi0959.phi005:252	Innocuam sacro carmine monstrat opem.
urn:cts:latinLit:phi0959.phi005:253	Me duce non tumulo prodire iubebitur umbra,
urn:cts:latinLit:phi0959.phi005:254	Non anus infami carmine rumpet humum;
urn:cts:latinLit:phi0959.phi005:255	Non seges ex aliis alios transibit in agros,
urn:cts:latinLit:phi0959.phi005:256	Nec subito Phoebi pallidus orbis erit.
urn:cts:latinLit:phi0959.phi005:257	Ut solet, aequoreas ibit Tiberinus in undas:
urn:cts:latinLit:phi0959.phi005:258	Ut solet, in niveis Luna vehetur equis.
urn:cts:latinLit:phi0959.phi005:259	Nulla recantatas deponent pectora curas,
urn:cts:latinLit:phi0959.phi005:260	Nec fugiet vivo sulpure victus amor.
urn:cts:latinLit:phi0959.phi005:261	Quid te Phasiacae iuverunt gramina terrae,
urn:cts:latinLit:phi0959.phi005:262	Cum cuperes patria, Colchi, manere domo?
urn:cts:latinLit:phi0959.phi005:263	Quid tibi profuerunt, Circe, Perseïdes herbae,
urn:cts:latinLit:phi0959.phi005:264	Cum sua Neritias abstulit aura rates?
urn:cts:latinLit:phi0959.phi005:265	Omnia fecisti, ne callidus hospes abiret:
urn:cts:latinLit:phi0959.phi005:266	Ille dedit certae lintea plena fugae.
urn:cts:latinLit:phi0959.phi005:267	Omnia fecisti, ne te ferus ureret ignis:
urn:cts:latinLit:phi0959.phi005:268	Longus in invito pectore sedit amor.
urn:cts:latinLit:phi0959.phi005:269	Vertere tu poteras homines in mille figuras,
urn:cts:latinLit:phi0959.phi005:270	Non poteras animi vertere iura tui.
urn:cts:latinLit:phi0959.phi005:271	Diceris his etiam, cum iam discedere vellet,
urn:cts:latinLit:phi0959.phi005:272	Dulichium verbis detinuisse ducem:
